,key,val,val
354,Luật kinh tế (Phân hiệu tại Thừa Thiên Huế),7380107H,7380107H
355,Cơ sở tại Quảng Ngãi:,,
356,Luật Kinh tế,7380107,7380107
357,Phân hiệu tại Thừa Thiền Huế,,
358,Kỹ thuật phục hồi chức năng,7720603,7720603
359,Khoa học máy tính,CN8,CN8
360,Bảo hiểm,7340204,7340204
361,CƠ SỞ TP.HCM:,,
362,CƠ SỞ SƠN TÂY:,,
363,CƠ SỞ TẠI HÀ NỘI:,,
364,Hệ thống thông tin quản lý (Chương trình đặc thù),7340405D,7340405D
365,Quản trị dịch vụ du lịch và lữ hành (Chương trình đặc thù),7810103D,7810103D
366,Quản trị khách sạn (Chương trình đặc thù),7810201D,7810201D
367,Quản trị nhà hàng và dịch vụ ăn uống (Chương trình đặc thù),7810202D,7810202D
368,Quản trị kinh doanh (Chương trình chất lượng cao),7340101C,7340101C
369,Marketing (Chương trình chất lượng cao),7340115C,7340115C
370,Kế toán (Chương trình chất lượng cao),7340301C,7340301C
371,Tài chính – Ngân hàng (Chương trình chất lượng cao),7340201C,7340201C
372,Kinh doanh quốc tế (Chương trình chất lượng cao),7340120C,7340120C
373,Quản trị khách sạn (Chương trình chất lượng cao),7810201C,7810201C
374,Quản trị kinh doanh (Chương trình quốc tế),7340101Q,7340101Q
375,Marketing (Chương trình quốc tế),7340115Q,7340115Q
376,Kế toán (Chương trình quốc tế),7340301Q,7340301Q
377,Kinh doanh quốc tế (Chương trình quốc tế),7340120Q,7340120Q
378,Khí tượng và khí hậu học,QHT16,QHT16
379,Thuỷ văn học,7440224,7440224
380,Biến đổi khí hậu và Phát triển bền vững,7440298,7440298
381,Khí tượng thủy văn biển,7440299,7440299
382,Kinh tế tài nguyên thiên nhiên,7850102,7850102
383,Quản lý tài nguyên nước,7850198,7850198
384,Quản lý biển,7850199,7850199
385,Tại trụ sở chính,,
386,Biến đổi khí hậu và phát triển bền vững,7440298,7440298
387,Thủy văn học,7440224,7440224
388,Kỹ thuật trắc địa – bản đồ,7520503PH,7520503PH
389,Tại phân hiệu Thanh Hóa,,
390,Trụ sở chính tại Hà Nội,,
391,Phân hiệu tại Thanh Hóa,,
392,Kỹ thuật cơ khí động lực,7520116,7520116
393,Quan hệ quốc tế,7310206,7310206
394,Đông Phương học,7310608,7310608
395,Giáo dục Mầm non (hệ cao đẳng),51140201,51140201
396,Giáo dục Tiểu học (hệ cao đẳng),5140202,5140202
397,Giáo dục Thể chất (hệ cao đẳng),51140206,51140206
398,Sư phạm Tin học (hệ cao đẳng),51140210,51140210
399,Sư phạm Âm nhạc (hệ cao đẳng),51140221,51140221
400,Sư phạm Mỹ thuật (hệ cao đẳng),51140222,51140222
401,Sư phạm Tiếng Anh (hệ cao đẳng),5140231,5140231
402,Chuyên ngành Văn hóa Du lịch,7229040D-01,7229040D-01
403,Chuyên ngành Văn hóa Truyền thông,7229040-02,7229040-02
404,Chuyên ngành Văn hóa Doanh nghiệp,7229040-03,7229040-03
405,Quản lý văn hoá,7229042,7229042
406,Quản lý văn hóa,7229042,7229042
